iron_ore						铁矿石
copper_ore						铜矿石
stone							石头
coal							煤炭
silicon_ore						硅矿石
titanium_ore					钛矿石
water							水
crude_oil						原油
hydrogen		                氢
deuterium		                重氢
antimatter		                反物质
sulfuric_acid	                硫酸
organic_crystal	                有机晶体
fire_ice		                可燃冰
kimberlite_ore	                金伯利矿石
fractal_silicon	                分形硅石
spiniform_stalagmite_crystal	刺笋结晶
optical_grating_crystal	        光栅石
unipolar_magnet	                单极磁石

iron_ingot					    铁块
copper_ingot				    铜块
stone_brick					    石块
enegretic_graphite			    高能石墨
silicon_ingot				    硅块
titanium_ingot				    钛块
magnet						    磁铁
glass						    玻璃
diamond						    金刚石
crystal_silicon				    晶体硅
steel						    钢
graphene					    石墨烯
carbon_nanotube				    碳纳米管
photon_combiner				    光子合并器
casimir_crystal				    卡西米尔晶体
particle_container			    粒子容器
magnetic_coil				    磁线圈
circuit_board				    电路板
prism						    棱镜
gear						    齿轮
electirc_motor				    电动机
microcrystalline_component	    微晶原件
plasma_exciter				    电浆激发器
electromagnetic_turbine		    电磁涡轮
processor					    处理器
super_magnetic_ring			    超级磁场环
refined_oil					    精炼油
plastic						    塑料
strange_matter				    奇异物质
titanium_crystal			    钛晶石
titanium_glass				    钛化玻璃
particle_broadband			    粒子宽带
plane_filter				    位面过滤器
quantum_chip				    量子芯片
titanium_alloy				    钛合金
frame_material				    框架材料
graviton_lens				    引力棱镜
annihilation_constraint_sphere	湮灭约束球
solar_sail					    太阳帆
dyson_sphere_component		    戴森球组件
deuteron_fuel_rod			    氘核燃料棒
small_carrier_rocket		    运载火箭
antimatter_fuel_rod			    反物质燃料棒
proliferator_1				    增产剂Ⅰ
proliferator_2				    增产剂Ⅱ
proliferator_3				    增产剂Ⅲ
foundation					    地基
electromagnetic_matrix		    电磁矩阵
energy_matrix				    能量矩阵
structure_matrix			    结构矩阵
information_matrix			    信息矩阵
gravity_matrix				    引力矩阵
universe_matrix                 宇宙矩阵

arc_smelter                     电弧熔炉
assembline_machine              制造台
oil_refinery                    原油精炼厂
chemical_plant                  化工厂
particle_collider               粒子对撞机
matrix_lab                      矩阵研究站

natural_resource                原矿
material                        原材料
components                      组件
end_product                     终产物
rare                            稀有材料
